s1,s2,s3,s4,s5,N_Observations,P(-1),P(0),P(+1),Direction,Classification_Error,Gini,Cross_Entropy,Confidence
0,1,1,-1,-1,25,0.28,0.52,0.2,-0.08000000000000002,0.48,0.6112,1.018359734765894,0.52
1,1,1,-1,-1,13,0.3076923076923077,0.46153846153846156,0.23076923076923078,-0.07692307692307693,0.5384615384615384,0.6390532544378699,1.0579054247036734,0.46153846153846156
-1,-1,-1,0,-1,13,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.6153846153846154,0.650887573964497,1.0733942812811266,0.38461538461538464
0,-1,-1,0,-1,17,0.35294117647058826,0.47058823529411764,0.17647058823529413,-0.17647058823529413,0.5294117647058824,0.6228373702422145,1.0283941667143721,0.47058823529411764
1,-1,-1,0,-1,16,0.375,0.3125,0.3125,-0.0625,0.625,0.6640625,1.094780226007948,0.375
-1,0,-1,0,-1,23,0.391304347826087,0.43478260869565216,0.17391304347826086,-0.2173913043478261,0.5652173913043479,0.6275992438563327,1.0334920606923674,0.43478260869565216
0,0,-1,0,-1,28,0.17857142857142858,0.5357142857142857,0.2857142857142857,0.10714285714285712,0.4642857142857143,0.5994897959183674,0.9999375490272633,0.5357142857142857
1,0,-1,0,-1,26,0.34615384615384615,0.2692307692307692,0.38461538461538464,0.03846153846153849,0.6153846153846154,0.6597633136094675,1.088010262277112,0.38461538461538464
-1,1,-1,0,-1,27,0.14814814814814814,0.37037037037037035,0.48148148148148145,0.3333333333333333,0.5185185185185186,0.6090534979423868,1.002675013359144,0.48148148148148145
0,1,-1,0,-1,17,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.0,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
1,1,-1,0,-1,14,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.4387755102040817,0.7589367727620596,0.7142857142857143
-1,-1,0,0,-1,25,0.16,0.52,0.32,0.16,0.48,0.6016,0.9978737678714718,0.52
0,-1,0,0,-1,33,0.21212121212121213,0.36363636363636365,0.42424242424242425,0.21212121212121213,0.5757575757575757,0.642791551882461,1.0605362446344555,0.42424242424242425
1,-1,0,0,-1,25,0.4,0.28,0.32,-0.08000000000000002,0.6,0.6592,1.0875656525975472,0.4
-1,0,0,0,-1,39,0.28205128205128205,0.3333333333333333,0.38461538461538464,0.10256410256410259,0.6153846153846154,0.6614069690992768,1.0906913214036156,0.38461538461538464
0,0,0,0,-1,54,0.3148148148148148,0.35185185185185186,0.3333333333333333,0.01851851851851849,0.6481481481481481,0.6659807956104252,1.0975829522078113,0.35185185185185186
1,0,0,0,-1,39,0.20512820512820512,0.41025641025641024,0.38461538461538464,0.17948717948717952,0.5897435897435898,0.6416831032215647,1.0579794690576378,0.41025641025641024
-1,1,0,0,-1,25,0.24,0.32,0.44,0.2,0.56,0.6464000000000001,1.0683583388846372,0.44
0,1,0,0,-1,26,0.23076923076923078,0.5,0.2692307692307692,0.038461538461538436,0.5,0.6242603550295858,1.0382400185693474,0.5
1,1,0,0,-1,15,0.3333333333333333,0.26666666666666666,0.4,0.06666666666666671,0.6,0.6577777777777778,1.0851886129676505,0.4
-1,-1,1,0,-1,20,0.2,0.4,0.4,0.2,0.6,0.64,1.0549201679861442,0.4
0,-1,1,0,-1,27,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.07407407407407407,0.6296296296296297,0.663923182441701,1.0944885526930284,0.37037037037037035
1,-1,1,0,-1,20,0.3,0.4,0.3,0.0,0.6,0.6599999999999999,1.0888999753452238,0.4
-1,0,1,0,-1,26,0.3076923076923077,0.4230769230769231,0.2692307692307692,-0.03846153846153849,0.5769230769230769,0.6538461538461537,1.0798753311904068,0.4230769230769231
0,0,1,0,-1,41,0.24390243902439024,0.43902439024390244,0.3170731707317073,0.07317073170731708,0.5609756097560976,0.6472337894110648,1.0697456223367126,0.43902439024390244
1,0,1,0,-1,15,0.2,0.6,0.2,0.0,0.4,0.56,0.9502705392332347,0.6
-1,1,1,0,-1,16,0.3125,0.375,0.3125,0.0,0.625,0.6640625,1.094780226007948,0.375
0,1,1,0,-1,26,0.2692307692307692,0.38461538461538464,0.34615384615384615,0.07692307692307693,0.6153846153846154,0.6597633136094675,1.088010262277112,0.38461538461538464
1,1,1,0,-1,20,0.2,0.5,0.3,0.09999999999999998,0.5,0.62,1.0296530140645737,0.5
-1,-1,-1,1,-1,16,0.25,0.5,0.25,0.0,0.5,0.625,1.0397207708399179,0.5
0,-1,-1,1,-1,15,0.4,0.3333333333333333,0.26666666666666666,-0.13333333333333336,0.6,0.6577777777777778,1.0851886129676505,0.4
1,-1,-1,1,-1,18,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5679012345679012,0.9368883075390159,0.5555555555555556
-1,0,-1,1,-1,18,0.3333333333333333,0.4444444444444444,0.2222222222222222,-0.1111111111111111,0.5555555555555556,0.6419753086419753,1.0608569471580214,0.4444444444444444
0,0,-1,1,-1,32,0.21875,0.34375,0.4375,0.21875,0.5625,0.642578125,1.0612039759627612,0.4375
1,0,-1,1,-1,26,0.38461538461538464,0.5384615384615384,0.07692307692307693,-0.3076923076923077,0.46153846153846156,0.5562130177514794,0.8981370031878679,0.5384615384615384
-1,1,-1,1,-1,19,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.0,0.42105263157894735,0.5761772853185595,0.9724809323379562,0.5789473684210527
0,1,-1,1,-1,16,0.1875,0.4375,0.375,0.1875,0.5625,0.6328125,1.0433534269422906,0.4375
1,1,-1,1,-1,17,0.47058823529411764,0.29411764705882354,0.23529411764705882,-0.23529411764705882,0.5294117647058824,0.6366782006920415,1.0551016181686423,0.47058823529411764
